GUID,Slug,Old/new,Title,Description,Topics,Link to data,Data type,File format,Publisher,Source,Volume,Frequency of change,Data Owner,Data agreements,Status,Contact,Data Sharing Agreement Category,Method of access
ce0767c8-a243-4d6d-acd9-d1ccacf03d8b,bristol_car_park_locations,Old,Bristol Car Park locations,"Locations of car parks in Bristol, including Park and Ride car parks. Attributes include car park type, number of spaces, operating times",maps_and_locations; road_traffic_travel_and_parking,https://opendata.bristol.gov.uk/datasets/bcc::designated-car-parks/about,Tabular,CSV; Various,bristol_city_council,Bristol City Council,,Low (quarterly - annually),,Open Government Licence,Future,,Open,Download & API
3d502a50-1877-44c1-bd5c-a6e0151a10d6,electric_vehicle_charging_points,Old,Electric Vehicle Charging Points,Location and details of electric vehicles charging points in Bristol, electric_vehicles; maps_and_locations,https://opendata.bristol.gov.uk/datasets/bcc::electric-vehicle-charging-points-2/about,GIS,CSV; KML; Shapefile; GeoJSON,bristol_city_council,Bristol City Council,,Low (quarterly - annually),,Open Government Licence,Future,,Open,Download
9c27069f-667b-4804-959f-ef642c1f81e9,bristol_traffic_accidents,Old,Bristol traffic accidents,Bristol road accidents involving personal injury that were reported to police and passed on to the City Council. Damage only accidents are not recorded,road_accidents_and_safety,https://opendata.bristol.gov.uk/datasets/bcc::traffic-accidents-1/about,Tabular,CSV; Various,bristol_city_council,Bristol City Council,,Low (quarterly - annually),,Open Government Licence,Future,,Open,Download & API
33dae301-e33f-4673-97db-23f4ffe7a69b,bristol_traffic_counters,Old,Bristol Traffic Counters,Locations and meta data for traffic counters. These are induction loops in the road that detect the passing vehicles but don't discriminate between vehicle types.,maps_and_locations; network_statistics; road_traffic_travel_and_parking,https://opendata.bristol.gov.uk/datasets/bcc::traffic-counters/about,Tabular,CSV; Various,bristol_city_council,Bristol City Council,,Low (quarterly - annually),,Open Government Licence,Future,,Open,Download & API
34ed2dc5-598d-474f-95be-c048fbbc1269,bristol_traffic_count_data,Old,Bristol traffic count data,Hourly traffic flow data from re - purposed SCOOT traffic counters. These are induction loop counters embedded in roads that detect when a vehicle passes that point. They do not discriminate between vehicle types.,network_statistics; road_traffic_travel_and_parking,https://opendata.bristol.gov.uk/explore/dataset/fact-traffic-counts/export/,Tabular,CSV; Various,bristol_city_council,Bristol City Council,,,,Open Government Licence,Future,,Open,Download & API
a678a1ea-8146-4d8b-83d7-3a0ffe50d058,aadt_aadf_count_data,Old,AADT / AADF count data,"Summary and street-level traffic data for road-links on the motorway, 'A' road and minor road network in Great Britain.",network_statistics; road_traffic_travel_and_parking,https://roadtraffic.dft.gov.uk/,Tabular,CSV,dpt_for_transport,Department for Transport (DfT),<100 MB,Low (quarterly - annually),,Open Government Licence,Future,robert.smith@westofengland-ca.gov.uk,Open,Download
a3c6744b-2aff-4ca1-8ded-1a74a99c59d2,road_traffic_statistics,Old,Road traffic statistics,"Bulk download traffic figures for all regions, all local authorities and all count point locations.",network_statistics; road_traffic_travel_and_parking,https://roadtraffic.dft.gov.uk/downloads,Tabular,CSV,dpt_for_transport,Department for Transport (DfT),,Low (quarterly - annually),,Open Government Licence,Future,,Open,Download
880a8426-4840-4821-affa-2606d9775ed8,webtris,Old,WebTRIS,National Highways MIDAS site flow reports accessible through web portal or API,maps_and_locations; network_statistics,https://webtris.highwaysengland.co.uk/,Numeric,CSV; JSON,national_highways,National Highways,,Moderate (weekly - monthly),,No data agreement,Future,,,Download/API
340534ec-cf35-4909-bc6b-5f4f9d2cf4bf,geology_625k_res,Old,Geology (625k resolution),Geoglogical survey data of local geology,environmental; maps_and_locations,https://www.bgs.ac.uk/datasets/bgs-geology-625k-digmapgb/,GIS,Shapefile,british_geological_survey,British Geological Survey,<100 MB,Low (quarterly - annually),,Open Government Licence,Future,robert.smith@westofengland-ca.gov.uk,Open,Download
ca8940f2-1ab7-43e6-8ea6-88bf832dbf30,national_charge_point_registry,Old,National Charge Point Registry,A real-time view of Publicly Accessible PiV (plugged-in vehicle) Charge Points within the UK.,electric_vehicles; maps_and_locations,https://www.data.gov.uk/dataset/1ce239a6-d720-4305-ab52-17793fedfac3/national-charge-point-registry,Tabular,CSV,office_for_low_emission_vehicles,Office for Low Emission Vehicles,,Moderate (weekly - monthly),,Open Government Licence,Future,,Open,Download & API
6f28429b-2ccc-4f0a-9334-1ab97a2cd158,flood_risk_areas,Old,Flood Risk areas,Flood risk mapping by flood risk zone,environmental; maps_and_locations,https://www.data.gov.uk/dataset/42c31542-228d-439b-8dbe-e72135dae71c/flood-risk-areas,GIS,Shapefile,environment_agency,Environment Agency,<100 MB,Low (quarterly - annually),,Open Government Licence,Future,robert.smith@westofengland-ca.gov.uk,Open,Download
4a6ffd16-d864-4f61-ac94-f91f39b1d3ef,uk_la_greenhouse_gas_emissions,Old,UK local authority and regional greenhouse gas emissions,A breakdown of greenhouse gas emissions by Local Authority area ,environmental; maps_and_locations,https://www.data.gov.uk/dataset/723c243d-2f1a-4d27-8b61-cdb93e5b10ff/uk-local-authority-and-regional-greenhouse-gas-emissions,Tabular,CSV,dpt_for_energy_security_net_zero,Department for Energy Security and Net Zero,<100MB,Low (quarterly - annually),,Open Government Licence,Future,,Open,Download
5934df3c-6271-4165-b431-bdd507e33aee,road_accident_stats19,Old,STATS19,Recorded road traffic accident statistics,road_accidents_and_safety,https://www.data.gov.uk/dataset/cb7ae6f0-4be6-4935-9277-47e5ce24a11f/road-safety-data,Tabular,CSV,dpt_for_transport,Department for Transport (DfT),<1GB,Low (quarterly - annually),robert.smith@westofengland-ca.gov.uk,Open Government Licence,Complete,robert.smith@westofengland-ca.gov.uk,Open,Download
403fc20e-eddc-40a5-9e4d-db7bb214598c,national_travel_survey,Old,National Travel Survey,"Statistics and data about the National Travel Survey, based on a household survey to monitor trends in personal travel.",demographic; road_traffic_travel_and_parking,https://www.gov.uk/government/collections/national-travel-survey-statistics,Tabular,ODS,dpt_for_transport,Department for Transport (DfT),,Low (quarterly - annually),,Open Government Licence,Future,,Open,Download
61c50964-2cd3-49cc-bc12-530b1a758b94,road_freight_stats,Old,Road freight: domestic and international statistics,Data and statistics about domestic and international road freight activity,network_statistics; road_traffic_travel_and_parking,https://www.gov.uk/government/collections/road-freight-domestic-and-international-statistics,Tabular,ODS,dpt_for_transport,Department for Transport (DfT),,Low (quarterly - annually),,Open Government Licence,Future,,Open,Download
4cc81166-3273-4617-863a-769449a34592,tempro,Old,Trip End Model Presentation Program (TEMPro) ,"The TEMPro software, including guidance documents, used for viewing the National Trip End Model (NTEM) information.",maps_and_locations; transport_planning,https://www.gov.uk/government/publications/tempro-downloads,Software output,Software output,dpt_for_transport,Department for Transport (DfT),<100 MB,Low (quarterly - annually),robert.smith@westofengland-ca.gov.uk,DfT licencing / approvals required,Complete,robert.smith@westofengland-ca.gov.uk,,Download
98bdb54c-7535-492c-af04-e5ba36db32bc,local_bus_passenger_journeys_bus01,Old,Local bus passenger journeys (BUS01),Total bus passengers by local authority (England),buses; network_statistics,https://www.gov.uk/government/statistical-data-sets/bus01-local-bus-passenger-journeys,Tabular,CSV,dpt_for_transport,Department for Transport (DfT),<10 MB,Low (quarterly - annually),,Open Government Licence,Future,,Open,Download
0bb19ed8-decc-4dce-a6ec-f4f51ef22762,journey_time_statistics,Old,Journey Time Statistics (JTS),Journey time statistics to destinations - national dataset by local authority,maps_and_locations; network_statistics,https://www.gov.uk/government/statistical-data-sets/journey-time-statistics-data-tables-jts,Tabular,CSV,dpt_for_transport,Department for Transport (DfT),<100 MB,Low (quarterly - annually),robert.smith@westofengland-ca.gov.uk,Open Government Licence,Complete,robert.smith@westofengland-ca.gov.uk,Open,Download
a5cca22e-494d-4b37-bf1e-5964e9416b06,road_condition_statistics,Old,Road condition statistics (DfT),"Data about the condition and maintenance of roads by local authority and Highways England, produced by Department of Transport.",accessibility; environmental; road_traffic_travel_and_parking,https://www.gov.uk/government/statistical-data-sets/road-condition-statistics-data-tables-rdc,Tabular,ODS,dpt_for_transport,Department for Transport (DfT),<10 MB,Low (quarterly - annually),robert.smith@westofengland-ca.gov.uk,Open Government Licence,Complete,robert.smith@westofengland-ca.gov.uk,Open,Download
fc29f051-c129-4fd2-8096-4396e1cdfd05,road_length_statistics,Old,Road length statistics (RDL),"Data on road length by region, country, road type and local authority",maps_and_locations; road_traffic_travel_and_parking,https://www.gov.uk/government/statistical-data-sets/road-length-statistics-rdl,Tabular,CSV,dpt_for_transport,Department for Transport (DfT),<10 MB,Low (quarterly - annually),robert.smith@westofengland-ca.gov.uk,Open Government Licence,Complete,robert.smith@westofengland-ca.gov.uk,Open,Download
14f29c9d-16ab-4945-aa1e-e07ecf06bbf9,english_indices_of_deprivation_2019,Old,English indices of deprivation 2019,"Index of multiple deprivation, including subset data and IMD segmentation",demographic; environmental,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2019,Tabular,CSV,ministry_of_housing_comm_local_gov,"Ministry of Housing, Communities & Local Government",<100 MB,Low (quarterly - annually),robert.smith@westofengland-ca.gov.uk,Open Government Licence,Complete,robert.smith@westofengland-ca.gov.uk,Open,Download
8178e2e2-20d3-4723-9b6a-6d0dcbb90e6d,daily_domestic_transport_use,Old,Daily domestic transport use by mode,Daily usage of selected domestic transport by mode for Great Britain,network_statistics,https://www.gov.uk/government/statistics/transport-use-during-the-coronavirus-covid-19-pandemic,Tabular,ODS,dpt_for_transport,Department for Transport (DfT),<10 MB,Moderate (weekly - monthly),robert.smith@westofengland-ca.gov.uk,Open Government Licence,Complete,robert.smith@westofengland-ca.gov.uk,Open,Download
54e4afd9-d259-4620-91ba-03dbf231a860,general_practitioners_surgeries,Old,General Practitioner's (GPs) surgeries,Registered General Practitioner locations,maps_and_locations; social,https://www.nhs.uk/about-us/nhs-website-datasets/,Tabular,CSV,national_health_service,NHS,<10 MB,Low (quarterly - annually),,Open Government Licence,Future,robert.smith@westofengland-ca.gov.uk,Open,Download
9ef5ffd7-cc18-45e6-837d-cf82d8b2dbc6,hospital_locations,Old,Hospital Locations,Location of hospitals with a Accident and Emergency department,maps_and_locations; social,https://www.nhs.uk/about-us/nhs-website-datasets/,Tabular,CSV,national_health_service,NHS,<10 MB,Low (quarterly - annually),,Open Government Licence,Future,robert.smith@westofengland-ca.gov.uk,Open,Download
24df6afd-ae44-4b57-8038-8aaaf15535ec,economic_activity_census_2011,Old,Economic Activity (2011 Census),2011 census data of economic activity by household,demographic; social,https://www.nomisweb.co.uk/census/2011/ks601uk,Tabular,CSV,office_for_national_statistics,Office for National Statistics (ONS),<10 MB,Low (quarterly - annually),,Open Government Licence,Future,robert.smith@westofengland-ca.gov.uk,Open,Download
c2f81b57-1dce-4419-9d82-354a691fcfc2,car_ownership_by_household_census_2011,Old,Car ownership by Household (2011 Census),2011 census data of car ownership by household,demographic; road_traffic_travel_and_parking,https://www.nomisweb.co.uk/census/2011/qs416ew,Tabular,CSV,office_for_national_statistics,Office for National Statistics (ONS),<10 MB,Low (quarterly - annually),,Open Government Licence,Future,robert.smith@westofengland-ca.gov.uk,Open,Download
d42c9c62-4264-47ab-a3c3-5cc1eb0dd764,ttw_dest_origins_census_2011,Old,Location of usual residence and place of work by method of travel to work (2011 Census),2011 census data of travel to work (TTW) areas origins and destinations,demographic; maps_and_locations; network_statistics,https://www.nomisweb.co.uk/census/2011/wu03uk,Tabular,CSV,office_for_national_statistics,Office for National Statistics (ONS),<100 MB,Low (quarterly - annually),,Open Government Licence,Future,,Open,Download
f50edc48-28ba-421e-845d-6e66133dd21e,business_register_and_employment,Old,Business Register and Employment Survey data,Business Register and Employment Survey data - Annual employee and employment estimates for Great Britain and UK split by region. Results given by full-time/part-time and public/private splits.,demographic; social,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/datasets/regionbusinessregisterandemploymentsurveybrestable3,Tabular,CSV,office_for_national_statistics,Office for National Statistics (ONS),,Low (quarterly - annually),,Open Government Licence,Future,,Open,Download
8c28f9d9-1914-4acb-a3d7-7ac9102026de,addressbase,Old,OS AddressBase,"AddressBase matches 29 million Royal Mail postal address to unique property reference numbers (UPRN), bringing a geographical dimension to the matched records. This is a paid for dataset but is avaible for public sector use under PSGA",demographic; maps_and_locations,https://www.ordnancesurvey.co.uk/products/addressbase,GIS,Shapefile,ordnance_survey,Ordnance Survey (OS),<10 GB,Low (quarterly - annually),,PSGA Licence (OS),Future,robert.smith@westofengland-ca.gov.uk,Open,Download
2d7d0ace-e8f3-42e2-aca2-377d3a93fb57,addressbaseplus,Old,OS AddressBasePlus,"Along with Royal Mail PAF data, AddressBase® Plus gives you up-to-date local authority addresses, multi-occupancy addresses and OS MasterMap TOID references. This is a paid for dataset but is avaible for public sector use under PSGA",demographic; maps_and_locations,https://www.ordnancesurvey.co.uk/products/addressbase-plus,GIS,Shapefile,ordnance_survey,Ordnance Survey (OS),<10 GB,Low (quarterly - annually),,PSGA Licence (OS),Future,robert.smith@westofengland-ca.gov.uk,Open,Download
af0726d8-454f-49d0-b9b2-8297b0ece607,addressbasepremium,Old,OS AddressBasePremium,AddressBase Premium has over 40 million addresses and 100 million cross references as well as providing all the information relating to an address from creation to retirement. This is a paid for dataset but is avaible for public sector use under PSGA,demographic; environmental; maps_and_locations,https://www.ordnancesurvey.co.uk/products/addressbase-premium,GIS,Shapefile,ordnance_survey,Ordnance Survey (OS),<10 GB,Low (quarterly - annually),,PSGA Licence (OS),Future,robert.smith@westofengland-ca.gov.uk,Open,Download
05269e8f-3f20-4586-9485-eb29a9dac9ed,boundary_line,Old,OS Boundary Line,"Collection of boundary datasets, including local authority boundaries and geodemographic boundaries",demographic; environmental; maps_and_locations,https://www.ordnancesurvey.co.uk/products/boundary-line,GIS,Shapefile,ordnance_survey,Ordnance Survey (OS),<10 GB,Low (quarterly - annually),,Open Government Licence,Future,robert.smith@westofengland-ca.gov.uk,Open,Download
027e106c-a8e7-4b6d-b5ce-a59234033d4f,codepoint,Old,OS Codepoint,Postcode point data,demographic; maps_and_locations,https://www.ordnancesurvey.co.uk/products/code-point-open,GIS,Shapefile,ordnance_survey,Ordnance Survey (OS),<10 GB,Low (quarterly - annually),,Open Government Licence,Future,robert.smith@westofengland-ca.gov.uk,Open,Download
f171acc1-cdd5-4c1a-94fd-a4bd423afcc7,codepoint_poly,Old,OS Codepoint Poly,Postcode polygon data,demographic; maps_and_locations,https://www.ordnancesurvey.co.uk/products/code-point-polygons,GIS,Shapefile,ordnance_survey,Ordnance Survey (OS),<10 GB,Low (quarterly - annually),,PSGA Licence (OS),Future,robert.smith@westofengland-ca.gov.uk,Open,Download
4ae8bad6-465f-444c-879a-f56d01c25d58,mastermap_highways_network_roads,Old,OS MasterMap Highways Network - Roads,Road and path network dataset for Great Britain. It records the dimensions and accessibility of roads. ,accessibility; road_traffic_travel_and_parking,https://www.ordnancesurvey.co.uk/business-government/products/mastermap-highways,GIS,GML,ordnance_survey,Ordnance Survey (OS),<1GB,Low (quarterly - annually),robert.smith@westofengland-ca.gov.uk,PSGA Licence (OS),Complete,robert.smith@westofengland-ca.gov.uk,Open,Download
2be92ba6-5688-4361-8fd3-487535d19c8f,mastermap_highways_network_paths,Old,OS MasterMap Highways Network - Paths,"GIS Line network of urbans paths, with classifications",maps_and_locations; walking_and_cycling,https://www.ordnancesurvey.co.uk/business-government/products/mastermap-highways-path,GIS,GML,ordnance_survey,Ordnance Survey (OS),<10GB,Low (quarterly - annually),robert.smith@westofengland-ca.gov.uk,PSGA Licence (OS),Complete,robert.smith@westofengland-ca.gov.uk,Open,Download
e4680698-3610-4699-b5ad-d084fc3fd908,open_roads,Old,OS Open Roads,"GIS Line network of roads, with classifications (open data source)",maps_and_locations; road_traffic_travel_and_parking,https://www.ordnancesurvey.co.uk/products/os-open-roads,GIS,Vector Tiles; GeoPackage; GML 3.2; Esri Shape file,ordnance_survey,Ordnance Survey (OS),<1GB,Low (quarterly - annually),robert.smith@westofengland-ca.gov.uk,Open Government Licence,Complete,robert.smith@westofengland-ca.gov.uk,Open,Download
30af3afd-8fcb-41a4-9551-8ec07c136a72,terrain_5,Old,OS Terrain 5,"Digital Terrain Model (DTM) of Great Britain. It is available as a grid of heighted points and contours, both at five-metre intervals.",environmental; maps_and_locations,https://www.ordnancesurvey.co.uk/business-government/products/terrain-5,GIS,Various (Geospatial),ordnance_survey,Ordnance Survey (OS),<10 GB,Low (quarterly - annually),,PSGA Licence (OS),Future,robert.smith@westofengland-ca.gov.uk,Open,Download
a100b3af-8ef9-4188-b087-a7923f522203,terrain_50,Old,OS Terrain 50,"OS Terrain® 50 is an open height dataset of contours with spot heights, breaklines, coastline, lakes, ridges and formlines for Great Britain.",environmental; maps_and_locations,https://www.ordnancesurvey.co.uk/business-government/products/terrain-50,GIS,Various (Geospatial),ordnance_survey,Ordnance Survey (OS),<10 GB,Low (quarterly - annually),,Open Government Licence,Future,robert.smith@westofengland-ca.gov.uk,Open,Download
36f7f74f-2684-4af9-beff-8e896cbd936b,active_lives_survey,Old,Sports England Active Lives Survey,Data of walking and cycling activity within the population for recreation,demographic; walking_and_cycling,https://www.sportengland.org/research-and-data/data/active-lives/active-lives-data-tables,Tabular,CSV,sports_england,Sports England,<10 MB,Low (quarterly - annually),,Open Government Licence,Future,robert.smith@westofengland-ca.gov.uk,Open,Download
33125598-2226-4767-84d9-3ed0ed22c3a1,traveline_national_dataset,Old,Traveline National Dataset (TNDS),"TNDS contains public transport timetables for bus, light rail, tram and ferry services in Great Britain",buses; network_statistics; rail,https://www.travelinedata.org.uk/traveline-open-data/traveline-national-dataset/,,TransXChange (XML),bristol_city_council,Bristol City Council,<100MB,Moderate (weekly - monthly),,Apply for FTP access,Future,,,FTP
ae77feb5-37ca-477d-8a01-fe7a02bd2f13,traveline_public_transport_timetable,Old,Traveline Public Transport Timetable Data,Dataset of public transport timetable data (more recent data available),buses; network_statistics; rail,https://www.travelinedata.org.uk/traveline-open-data/traveline-national-dataset/,Timetable data,GTFS / ATCO CIF,traveline,Traveline,<10 GB,Moderate (weekly - monthly),,Open Government Licence,Future,robert.smith@westofengland-ca.gov.uk,Open,FTP
8dfdeda5-efee-42c4-b012-4f23309d60d5,reclassified_routes_public,,Reclassified Routes Public,"Reclassified routes, formerly National Cycle Network, are considered suitable for people who are confident and experienced at cycling.",maps_and_locations; walking_and_cycling,https://data-sustrans-uk.opendata.arcgis.com/datasets/Sustrans-UK::reclassified-routes-public-1/about,GIS,CSV; JSON; KML; Shapefile,sustrans,Sustrans,<10MB,Moderate (weekly-monthly),,Open Government Licence,,,,Download
bbcb9019-2850-444d-9b31-b4b5b752e674,removed_cycle_routes,,Removed Cycle Routes,This a dataset of routes removed from the National Cycle Network. Removed routes which do not meet the Sustrans vision of a network of paths for everyone. ,accessibility; maps_and_locations,https://data-sustrans-uk.opendata.arcgis.com/datasets/Sustrans-UK::removed-routes-public-1/about,GIS,CSV; JSON; KML; Shapefile,sustrans,Sustrans,<10MB,Moderate (weekly-monthly),,Open Government Licence,,,,Download
5db7717e-0a31-4b3a-9d1d-c9273470a23e,built_up_areas_2011,,Built Up Areas (2011),This file contains the digital vector boundaries for built-up areas in England and Wales as at 27 March 2011 (Census day). The built-up area boundaries are generalised and created using an automated approach based on a 50m grid squares. ,environmental; maps_and_locations,https://geoportal.statistics.gov.uk/datasets/ons::built-up-areas-dec-2011-boundaries-v2/about,GIS,CSV; Shapefile; SQLite Geodatabase; GeoPackage; GeoJSON; Excel,office_for_national_statistics,Office for National Statistics (ONS),<10MB,Low (quarterly - annually),,,,,,Download
e67431b1-1c03-4d19-8c0e-9b85dbae804b,asset_register_land_ownership_polygons,,Asset register and land ownership polygons,Land and Property owned by Bristol City Council,environmental; maps_and_locations,https://opendata.bristol.gov.uk/datasets/bcc::asset-register-and-land-ownership/about,GIS,CSV; KML; Shapefile; GeoJSON,bristol_city_council,Bristol City Council,,Low (quarterly - annually),,,,,,Download
03b286d3-fac5-49e7-b218-396d52b47265,bristol_leisure_cycle_rides_routes,,Bristol leisure cycle rides routes,Dataset showing routes of leisure rides for bicycles in and around Bristol,maps_and_locations; walking_and_cycling,https://opendata.bristol.gov.uk/datasets/bcc::leisure-rides-cycling/about,GIS,CSV; KML; Shapefile; GeoJSON,bristol_city_council,Bristol City Council,,Low (quarterly - annually),,Open Government Licence,,,,Download
81a3afaf-e498-41b2-92ed-587ebb509eb0,rider_zones_27700,,Rider Zones 27700,Rider Zones map showing boundaries for the use of Rider tickets in the West of England.,buses; maps_and_locations,https://opendata.bristol.gov.uk/datasets/bcc::rider-zones/about,GIS,CSV; JSON; KML; Shapefile,travelwest,Travelwest,,Low (quarterly - annually),,,,,,Download
f6a78032-226c-4704-98b7-377adf1b5fc2,car_availability_household_2011_oa,,Car Availability Household 2011 Oa Poly,Car and van availability in households by Output Areas,demographic; road_traffic_travel_and_parking,https://statistics.ukdataservice.ac.uk/dataset/car-or-van-availability-2011/resource/7544ad18-8577-4200-bd9f-53f8963dbc9d,GIS,CSV,office_for_national_statistics,Office for National Statistics (ONS),<100MB,Low (quarterly - annually),,Open Government Licence,,,,Download
816fcd6f-d7fb-4dba-805f-242cec4a8ae2,connected_nations,,Connected Nations,Datasets underpinning the Ofcom connected Nations report. This is based on mobile coverage and fixed broadband availability across the UK as of January 2022.,demographic; social,https://www.ofcom.org.uk/research-and-data/multi-sector-research/infrastructure-research/connected-nations-update-spring-2022,GIS,CSV,ofcom,Ofcom,<100MB,Low (quarterly - annually),,,,,,Download
d7ff5e4c-e1c2-4d8d-b343-edf9ea8959e4,os_mastermap_greenspace,,OS MasterMap Greenspace,"The OS MasterMap Greenspace Layer dataset has been designed for the public sector, it shows accessible and non-accessible greenspaces in urban areas, helping to support a wider set of government initiatives around health and the environment. This is a paid for dataset but is avaible for public sector use under PSGA",accessibility; maps_and_locations,https://www.ordnancesurvey.co.uk/products/os-mastermap-greenspace-layer,GIS,ESRI Shapefile; GML; GeoPackage; Vector Tiles,ordnance_survey,Ordnance Survey (OS),,Low (quarterly - annually),,Public Sector Geospatial Agreement (PSGA),,,,Download
dbaeb98c-4dca-4c6c-96a5-df42c8f2148f,os_mastermap_topography,,OS MasterMap Topography,"The OS MasterMap Topography layer is presented seamlessly with more than 500 Million real world objects – all uniquely identified - including roads, buildings, parks and waterways all managed and maintained by Ordnance Survey within one of the world’s largest spatial databases.? This is a paid for dataset but is avaible for public sector use under PSGA",maps_and_locations,https://www.ordnancesurvey.co.uk/products/os-mastermap-topography-layer,GIS,GML,ordnance_survey,Ordnance Survey (OS),,Moderate (weekly-monthly),,Public Sector Geospatial Agreement (PSGA),,,,Download
642e65f9-30d2-4e91-8ebd-0326f03ced14,os_open_greenspace,,OS Open Greenspace,"The location of public parks, playing fields, sports facilities, play areas, allotments and more with OS Open Greenspace.",maps_and_locations; social,https://www.ordnancesurvey.co.uk/products/os-open-greenspace,GIS,ESRI Shapefile; GML; GeoPackage; Vector Tiles,ordnance_survey,Ordnance Survey (OS),,Low (quarterly - annually),,Open Government Licence,,,,Download
61b0925e-8fda-4176-bd17-1884874b9c5b,os_open_rivers,,OS Open Rivers,"A dataset showing the high-level view of watercourses in Great Britain. OS Open Rivers GIS data contains over 144,000 km of water bodies and watercourses map data. These include freshwater rivers, tidal estuaries and canals.",environmental; maps_and_locations,https://www.ordnancesurvey.co.uk/products/os-open-rivers,GIS,ESRI Shapefile; GML; GeoPackage; Vector Tiles,ordnance_survey,Ordnance Survey (OS),,Low (quarterly - annually),,Open Government Licence,,,,Download
