GUID,Slug,Title,Description,Topics,Link to data,Data type,File format,Publisher,Source,Method of transfer,Volume,Frequency of change,Data Owner,Data agreements,Status,Contact,Data Sharing Agreement Category
33dae301-e33f-4673-97db-23f4ffe7a69b,bcc_bristol_traffic_counters,Bristol Traffic Counters,Locations and meta data for traffic counters. These are induction loops in the road that detect the passing vehicles but don't discriminate between vehicle types.,maps_and_locations; network_statistics; road_traffic_travel_and_parking,https://opendata.bristol.gov.uk/datasets/bcc::traffic-counters/about,Tabular,CSV + various,bristol_city_council,Bristol City Council,Download & API,,Low (quarterly - annually),,Open Government Licence,Future,,Open
968e53a2-cbad-4de1-b443-08aecb7eafd7,bes_bus_passengers_by_population,Bus passengers by population,Bus passenger trips by head of population by local authority (Enland),buses; network_statistics; demographic,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030633/bus0110.ods,Tabular,CSV,dpt_of_business_energy_and_skills,Department of Business Energy and Skills (BEIS),Download,<10 MB,Low (quarterly - annually),,Open Government Licence,Future,robert.smith@westofengland-ca.gov.uk,Open
f50edc48-28ba-421e-845d-6e66133dd21e,ons_business_reg_and_emp,Business Register and Employment Survey data,Business Register and Employment Survey data - Annual employee and employment estimates for Great Britain and UK split by region. Results given by full-time/part-time and public/private splits.,demographic; social,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/datasets/regionbusinessregisterandemploymentsurveybrestable3,Tabular,CSV,office_of_national_statistics,Office for National Statistics (ONS),Download,,Low (quarterly - annually),,Open Government Licence,Future,,Open
c2f81b57-1dce-4419-9d82-354a691fcfc2,lam_car_ownership_by_household_2011_census,Car ownership by Household (2011 Census),2011 census data of car ownership by household,demographic; road_traffic_travel_and_parking,https://www.nomisweb.co.uk/census/2011/qs416ew,Tabular,CSV,local_authorities_multiple,Local Authorities (multiple),Download,<10 MB,Low (quarterly - annually),,Open Government Licence,Future,robert.smith@westofengland-ca.gov.uk,Open
24df6afd-ae44-4b57-8038-8aaaf15535ec,nhw_economic_activity_2011_census,Economic Activity (2011 Census),2011 census data of economic activity by household,demographic; ,https://www.nomisweb.co.uk/census/2011/ks601uk,Tabular,CSV,national_highways,National Highways,Download,<10 MB,Low (quarterly - annually),,Open Government Licence,Future,robert.smith@westofengland-ca.gov.uk,Open
3d502a50-1877-44c1-bd5c-a6e0151a10d6,bcc_electric_vehicle_charging_points,Electric Vehicle Charging Points,Location and details of electric vehicles charging points in Bristol,maps_and_locations; electric_vehicles,https://opendata.bristol.gov.uk/datasets/bcc::electric-vehicle-charging-points-2/about,Tabular,,bristol_city_council,Bristol City Council,,,Low (quarterly - annually),,Open Government Licence,Future,,Open
14f29c9d-16ab-4945-aa1e-e07ecf06bbf9,nhs_english_indices_of_deprivation_2019,English indices of deprivation 2019,"Index of multiple deprivation, including subset data and IMD segmentation",demographic; environmental,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2019,Tabular,CSV,nhs_england_and_wales,NHS England and Wales,Download,<100 MB,Low (quarterly - annually),robert.smith@westofengland-ca.gov.uk,Open Government Licence,Complete,robert.smith@westofengland-ca.gov.uk,Open
6f28429b-2ccc-4f0a-9334-1ab97a2cd158,lev_flood_risk_areas,Flood Risk areas,Flood risk mapping by flood risk zone,environmental; maps_and_locations,https://www.data.gov.uk/dataset/42c31542-228d-439b-8dbe-e72135dae71c/flood-risk-areas,GIS,Shapefile,office_for_low_emission_vehicles,Office for Low Emission Vehicles,Download,<100 MB,Low (quarterly - annually),,Open Government Licence,Future,robert.smith@westofengland-ca.gov.uk,Open
54e4afd9-d259-4620-91ba-03dbf231a860,ons_general_practitioners_surgeries,General Practitioner's (GPs) surgeries,Registered General Practitioner locations,maps_and_locations; social,https://www.nhs.uk/about-us/nhs-website-datasets/,Tabular,CSV,office_of_national_statistics,Office for National Statistics (ONS),Download,<10 MB,Low (quarterly - annually),,Open Government Licence,Future,robert.smith@westofengland-ca.gov.uk,Open
340534ec-cf35-4909-bc6b-5f4f9d2cf4bf,nhs_geology_625k_resolution,Geology (625k resolution),Geoglogical survey data of local geology,environmental; maps_and_locations,https://www.bgs.ac.uk/datasets/bgs-geology-625k-digmapgb/,GIS,Shapefile,nhs_england_and_wales,NHS England and Wales,Download,<100 MB,Low (quarterly - annually),,Open Government Licence,Future,robert.smith@westofengland-ca.gov.uk,Open
9ef5ffd7-cc18-45e6-837d-cf82d8b2dbc6,orr_hospital_locations,Hospital Locations,Location of hospitals with a Accident and Emergency department,maps_and_locations; social,https://www.nhs.uk/about-us/nhs-website-datasets/,Tabular,CSV,office_of_rail_and_road,Office of Rail and Road (ORR),Download,<10 MB,Low (quarterly - annually),,Open Government Licence,Future,robert.smith@westofengland-ca.gov.uk,Open
0bb19ed8-decc-4dce-a6ec-f4f51ef22762,dft_journey_time_statistics,Journey Time Statistics (JTS),Journey time statistics to destinations - national dataset by local authority,maps_and_locations; network_statistics,https://www.gov.uk/government/statistical-data-sets/journey-time-statistics-data-tables-jts,Tabular,CSV,dpt_for_transport,Department for Transport (DfT),Download,<100 MB,Low (quarterly - annually),robert.smith@westofengland-ca.gov.uk,Open Government Licence,Complete,robert.smith@westofengland-ca.gov.uk,Open
98bdb54c-7535-492c-af04-e5ba36db32bc,dft_local_bus_passenger_journeys_bus01,Local bus passenger journeys (BUS01),Total bus passengers by local authority (England),buses; network_statistics,https://www.gov.uk/government/statistical-data-sets/bus01-local-bus-passenger-journeys,Tabular,CSV,dpt_for_transport,Department for Transport (DfT),Download,<10 MB,Low (quarterly - annually),,Open Government Licence,Future,,Open
d42c9c62-4264-47ab-a3c3-5cc1eb0dd764,nwr_ttw_areas_2011_census,Location of usual residence and place of work by method of travel to work (2011 Census),2011 census data of travel to work (TTW) areas origins and destinations,demographic; maps_and_locations; network_statistics; transport_planning,https://www.nomisweb.co.uk/census/2011/wu03uk,Tabular,CSV,network_rail,Network Rail,Download,<100 MB,Low (quarterly - annually),,Open Government Licence,Future,,Open
ca8940f2-1ab7-43e6-8ea6-88bf832dbf30,lev_national_charge_point_registry,National Charge Point Registry,A real-time view of Publicly Accessible PiV (plugged-in vehicle) Charge Points within the UK.,maps_and_locations; electric_vehicles,https://www.data.gov.uk/dataset/1ce239a6-d720-4305-ab52-17793fedfac3/national-charge-point-registry,Tabular,CSV,office_for_low_emission_vehicles,Office for Low Emission Vehicles,Download & API,,Moderate (weekly - monthly),,Open Government Licence,Future,,Open
8bc49f50-df0c-40f3-8f5b-73d30c01334c,bcc_national_public_transport_access_nodes,National Public Transport Access Nodes (NaPTAN),"The data set contains the location of public transport access points. This includes bus stops, ferry terminals, airports, rail stations, coaches, trams, underground and metro stations.",buses; rail; road_traffic_travel_and_parking,https://data.gov.uk/dataset/ff93ffc1-6656-47d8-9155-85ea0b8f2251/national-public-transport-access-nodes-naptan,Tabular,CSV & XML,bristol_city_council,Bristol City Council,Download & API,<100MB,Low (quarterly - annually),,Open Government Licence,Future,richard.french@westofengland-ca.gov.uk,Open
403fc20e-eddc-40a5-9e4d-db7bb214598c,dft_national_travel_survey,National Travel Survey,"Statistics and data about the National Travel Survey, based on a household survey to monitor trends in personal travel.",demographic,https://www.gov.uk/government/collections/national-travel-survey-statistics,Tabular,ODS,dpt_for_transport,Department for Transport (DfT),Download,,Low (quarterly - annually),,Open Government Licence,Future,,Open
8c28f9d9-1914-4acb-a3d7-7ac9102026de,os_addressbase,OS AddressBase,Royal Mail Individual addresses/properties,demographic; maps_and_locations,https://www.ordnancesurvey.co.uk/business-government/products/addressbase,GIS,Shapefile,ordnance_survey,Ordnance Survey (OS),Download,<10 GB,Low (quarterly - annually),,PSGA Licence (OS),Future,robert.smith@westofengland-ca.gov.uk,Open
2d7d0ace-e8f3-42e2-aca2-377d3a93fb57,os_addressbaseplus,OS AddressBasePlus,Royal Mail Individual addresses/properties with additional land use data,demographic; maps_and_locations; environmental,https://www.ordnancesurvey.co.uk/business-government/products/addressbase-plus,GIS,Shapefile,ordnance_survey,Ordnance Survey (OS),Download,<10 GB,Low (quarterly - annually),,PSGA Licence (OS),Future,robert.smith@westofengland-ca.gov.uk,Open
af0726d8-454f-49d0-b9b2-8297b0ece607,os_addressbasepremium,OS AddressBasePremium,Royal Mail Individual addresses/properties with detailed land use data,demographic; maps_and_locations; environmental,https://www.ordnancesurvey.co.uk/business-government/products/addressbase-premium,GIS,Shapefile,ordnance_survey,Ordnance Survey (OS),Download,<10 GB,Low (quarterly - annually),,PSGA Licence (OS),Future,robert.smith@westofengland-ca.gov.uk,Open
05269e8f-3f20-4586-9485-eb29a9dac9ed,os_boundary_line,OS Boundary Line,"Collection of boundary datasets, including local authority boundaries and geodemographic boundaries",demographic; environmental; maps_and_locations,https://www.ordnancesurvey.co.uk/business-government/products/boundaryline,GIS,Shapefile,ordnance_survey,Ordnance Survey (OS),Download,<10 GB,Low (quarterly - annually),,Open Government Licence,Future,robert.smith@westofengland-ca.gov.uk,Open
027e106c-a8e7-4b6d-b5ce-a59234033d4f,os_codepoint,OS Codepoint,Postcode point data,demographic; maps_and_locations,https://www.ordnancesurvey.co.uk/business-government/products/code-point-open,GIS,Shapefile,ordnance_survey,Ordnance Survey (OS),Download,<10 GB,Low (quarterly - annually),,Open Government Licence,Future,robert.smith@westofengland-ca.gov.uk,Open
f171acc1-cdd5-4c1a-94fd-a4bd423afcc7,os_codepoint_poly,OS Codepoint Poly,Postcode polygon data,demographic; maps_and_locations,https://www.ordnancesurvey.co.uk/business-government/products/code-point-polygons,GIS,Shapefile,ordnance_survey,Ordnance Survey (OS),Download,<10 GB,Low (quarterly - annually),,PSGA Licence (OS),Future,robert.smith@westofengland-ca.gov.uk,Open
2be92ba6-5688-4361-8fd3-487535d19c8f,dft_os_mstmap_highways_network_paths,OS MasterMap Highways Network - Paths,"GIS Line network of urbans paths, with classifications",walking_and_cycling; maps_and_locations,https://www.ordnancesurvey.co.uk/business-government/products/mastermap-highways-path,GIS,GML,dpt_for_transport,Department for Transport (DfT),Download,<10GB,Low (quarterly - annually),robert.smith@westofengland-ca.gov.uk,PSGA Licence (OS),Complete,robert.smith@westofengland-ca.gov.uk,Open
4ae8bad6-465f-444c-879a-f56d01c25d58,bcc_os_mstmap_highways_network_roads,OS MasterMap Highways Network - Roads,Road and path network dataset for Great Britain. It records the dimensions and accessibility of roads. ,accessibility; road_traffic_travel_and_parking,https://www.ordnancesurvey.co.uk/business-government/products/mastermap-highways,GIS,GML,bristol_city_council,Bristol City Council,Download,<1GB,Low (quarterly - annually),robert.smith@westofengland-ca.gov.uk,PSGA Licence (OS),Complete,robert.smith@westofengland-ca.gov.uk,Open
e4680698-3610-4699-b5ad-d084fc3fd908,dft_os_open_roads,OS Open Roads,"GIS Line network of roads, with classifications (open data source)",road_traffic_travel_and_parking; network_statistics; maps_and_locations,https://www.ordnancesurvey.co.uk/business-government/products/open-map-roads,GIS,"Vector Tiles, GeoPackage, GML 3.2, Esri Shape file",dpt_for_transport,Department for Transport (DfT),Download,<1GB,Low (quarterly - annually),robert.smith@westofengland-ca.gov.uk,Open Government Licence,Complete,robert.smith@westofengland-ca.gov.uk,Open
30af3afd-8fcb-41a4-9551-8ec07c136a72,os_terrain_5,OS Terrain 5,Terrain height data at 10m resolution (incomplete),environmental,https://www.ordnancesurvey.co.uk/business-government/products/terrain-5,GIS,Various (Geospatial),ordnance_survey,Ordnance Survey (OS),Download,<10 GB,Low (quarterly - annually),,PSGA Licence (OS),Future,robert.smith@westofengland-ca.gov.uk,Open
a100b3af-8ef9-4188-b087-a7923f522203,os_terrain_50,OS Terrain 50,Terrain height data at 50m resolution (incomplete),environmental,https://www.ordnancesurvey.co.uk/business-government/products/terrain-50,GIS,Various (Geospatial),ordnance_survey,Ordnance Survey (OS),Download,<10 GB,Low (quarterly - annually),,Open Government Licence,Future,robert.smith@westofengland-ca.gov.uk,Open
3a9aff24-01d7-47b8-8b6f-153f6113754a,ons_primary_schools,Primary Schools,Primary schools by school census data,demographic; social,https://get-information-schools.service.gov.uk/Downloads,Tabular,CSV,office_of_national_statistics,Office for National Statistics (ONS),Download,<10 MB,Low (quarterly - annually),,Open Government Licence,Future,robert.smith@westofengland-ca.gov.uk,Open
61ac23c9-9bb2-4f92-b755-24288010e884,hmt_rail_passenger_usage,Rail Passenger usage (entries and exits),Rail passenger numbers by rail station (including interchange),rail; maps_and_locations; network_statistics,https://dataportal.orr.gov.uk/statistics/usage/estimates-of-station-usage,Tabular,CSV,hm_treasury,HM Treasury,Download,<10 MB,Low (quarterly - annually),,Open Government Licence,Future,,Open
a5cca22e-494d-4b37-bf1e-5964e9416b06,dft_road_condition_statistics_dft,Road condition statistics (DfT),"Data about the condition and maintenance of roads by local authority and Highways England, produced by Department of Transport.",road_traffic_travel_and_parking; accessibility; environmental,https://www.gov.uk/government/statistical-data-sets/road-condition-statistics-data-tables-rdc,Tabular,ODS,dpt_for_transport,Department for Transport (DfT),Download,<10 MB,Low (quarterly - annually),robert.smith@westofengland-ca.gov.uk,Open Government Licence,Complete,robert.smith@westofengland-ca.gov.uk,Open
61c50964-2cd3-49cc-bc12-530b1a758b94,dft_road_freight_dmstc_and_intrntnl_stats,Road freight: domestic and international statistics,Data and statistics about domestic and international road freight activity,network_statistics; road_traffic_travel_and_parking,https://www.gov.uk/government/collections/road-freight-domestic-and-international-statistics,Tabular,ODS,dpt_for_transport,Department for Transport (DfT),Download,,Low (quarterly - annually),,Open Government Licence,Future,,Open
fc29f051-c129-4fd2-8096-4396e1cdfd05,dft_road_length_statistics_rdl,Road length statistics (RDL),"Data on road length by region, country, road type and local authority",road_traffic_travel_and_parking; maps_and_locations,https://www.gov.uk/government/statistical-data-sets/road-length-statistics-rdl,Tabular,CSV,dpt_for_transport,Department for Transport (DfT),Download,<10 MB,Low (quarterly - annually),robert.smith@westofengland-ca.gov.uk,Open Government Licence,Complete,robert.smith@westofengland-ca.gov.uk,Open
a3c6744b-2aff-4ca1-8ded-1a74a99c59d2,dft_road_traffic_statistics,Road traffic statistics,"Bulk download traffic figures for all regions, all local authorities and all count point locations.",road_traffic_travel_and_parking; network_statistics,https://roadtraffic.dft.gov.uk/downloads,Tabular,CSV,dpt_for_transport,Department for Transport (DfT),Download,,Low (quarterly - annually),,Open Government Licence,Future,,Open
a31f543e-6e7d-4c8c-bdf3-db0492678f3a,ons_secondary_schools,Secondary Schools,Secondary schools by school census data,demographic; social,https://get-information-schools.service.gov.uk/Downloads,Tabular,CSV,office_of_national_statistics,Office for National Statistics (ONS),Download,<10 MB,Low (quarterly - annually),,Open Government Licence,Future,robert.smith@westofengland-ca.gov.uk,Open
5934df3c-6271-4165-b431-bdd507e33aee,dft_road_accident_stats19,STATS19,Recorded road traffic accident statistics,road_accidents_and_safety,https://www.data.gov.uk/dataset/cb7ae6f0-4be6-4935-9277-47e5ce24a11f/road-safety-data,Tabular,CSV,dpt_for_transport,Department for Transport (DfT),Download,<1GB,Low (quarterly - annually),robert.smith@westofengland-ca.gov.uk,Open Government Licence,Complete,robert.smith@westofengland-ca.gov.uk,Open
4cc81166-3273-4617-863a-769449a34592,lca_tempro_72_and_ntem_data,TEMPRO 7.2 and NTEM data,Indicative trip forecasting by mode and area to 2050 (soon to be superceeded by v8),maps_and_locations; transport_planning,https://www.gov.uk/government/publications/tempro-downloads,Software output,Software output,local_authorities,Local Authorities,Download,<100 MB,Low (quarterly - annually),robert.smith@westofengland-ca.gov.uk,DfT licencing / approvals required,Complete,robert.smith@westofengland-ca.gov.uk,
8178e2e2-20d3-4723-9b6a-6d0dcbb90e6d,lca_transport_use_covid19,Transport use during the coronavirus (COVID-19) pandemic,"To monitor the use of the transport system during the coronavirus (COVID-19) pandemic, DfT provides statistics on transport use by mode.",network_statistics,https://www.gov.uk/government/statistics/transport-use-during-the-coronavirus-covid-19-pandemic,Tabular,ODS,local_authorities,Local Authorities,Download,<10 MB,Moderate (weekly - monthly),robert.smith@westofengland-ca.gov.uk,Open Government Licence,Complete,robert.smith@westofengland-ca.gov.uk,Open
33125598-2226-4767-84d9-3ed0ed22c3a1,bcc_traveline_national_dataset,Traveline National Dataset (TNDS),"Dataset of scheduled bus, tram, and light rail services",buses; rail,https://www.travelinedata.org.uk/traveline-open-data/traveline-national-dataset/,,TransXChange (XML),bristol_city_council,Bristol City Council,FTP,<100MB,Moderate (weekly - monthly),,Apply for FTP access,Future,,
ae77feb5-37ca-477d-8a01-fe7a02bd2f13,ema_traveline_pblc_trnsprt_tmtbl_data,Traveline Public Transport Timetable Data,Dataset of public transport timetable data (more recent data available),buses; rail; road_traffic_travel_and_parking; transport_planning; network_statistics,https://www.travelinedata.org.uk/traveline-open-data/traveline-national-dataset/,Timetable data,GTFS / ATCO CIF,environment_agency,Environment Agency,FTP,<10 GB,Moderate (weekly - monthly),,Open Government Licence,Future,robert.smith@westofengland-ca.gov.uk,Open
4a6ffd16-d864-4f61-ac94-f91f39b1d3ef,lca_uk_la_and_regional_gh_gas_emissions,UK local authority and regional greenhouse gas emissions,A breakdown of greenhouse gas emissions by Local Authority area ,environmental; maps_and_locations,https://www.data.gov.uk/dataset/723c243d-2f1a-4d27-8b61-cdb93e5b10ff/uk-local-authority-and-regional-greenhouse-gas-emissions,Tabular,CSV,local_authorities,Local Authorities,Download,<100MB,Low (quarterly - annually),,Open Government Licence,Future,,Open
880a8426-4840-4821-affa-2606d9775ed8,nhw_webtris,WebTRIS,National Highways MIDAS site flow reports accessible through web portal or API,maps_and_locations; network_statistics,https://webtris.highwaysengland.co.uk/,Numeric,CSV/JSON,national_highways,National Highways,Download/API,,Moderate (weekly - monthly),,No data agreement,Future,,
